time_s,position_cm,setpoint_cm,error_cm,control_signal_v
0.17018866539001465,5.03,5.0,-0.03000000000000025,4.712
0.21954560279846191,5.08,5.0,-0.08000000000000007,4.712
0.42084407806396484,5.15,5.0,-0.15000000000000036,4.731
0.46883058547973633,5.13,5.0,-0.1299999999999999,4.712
0.6856169700622559,5.08,5.0,-0.08000000000000007,4.712
0.7191817760467529,5.05,5.0,-0.04999999999999982,4.702
0.9526748657226562,5.08,5.0,-0.08000000000000007,4.712
0.9848208427429199,5.13,5.0,-0.1299999999999999,4.721
1.2180395126342773,5.1,5.0,-0.09999999999999964,4.712
1.2347831726074219,5.08,5.0,-0.08000000000000007,4.712
1.485008716583252,5.08,5.0,-0.08000000000000007,4.731
1.7511029243469238,5.15,5.0,-0.15000000000000036,4.702
1.7844860553741455,5.15,5.0,-0.15000000000000036,4.702
2.0008058547973633,5.0,5.0,0.0,4.721
2.0500681400299072,5.08,5.0,-0.08000000000000007,4.712
2.267338752746582,5.1,5.0,-0.09999999999999964,4.712
2.316702127456665,5.08,5.0,-0.08000000000000007,4.731
2.534705638885498,5.1,5.0,-0.09999999999999964,4.692
2.566152334213257,5.1,5.0,-0.09999999999999964,4.721
2.8001925945281982,5.1,5.0,-0.09999999999999964,4.721
2.832583427429199,5.1,5.0,-0.09999999999999964,4.741
3.0669424533843994,5.18,5.0,-0.17999999999999972,4.721
3.0986714363098145,5.08,5.0,-0.08000000000000007,4.712
3.332040548324585,5.03,5.0,-0.03000000000000025,4.721
3.599668025970459,5.08,5.0,-0.08000000000000007,4.712
3.848123788833618,5.08,5.0,-0.08000000000000007,4.702
3.8973000049591064,5.08,5.0,-0.08000000000000007,4.721
4.115701198577881,5.08,5.0,-0.08000000000000007,4.702
4.16374135017395,5.05,5.0,-0.04999999999999982,4.702
4.380833625793457,5.1,5.0,-0.09999999999999964,4.712
4.4131669998168945,5.08,5.0,-0.08000000000000007,4.731
4.648117303848267,5.08,5.0,-0.08000000000000007,4.712
4.663072347640991,4.98,5.0,0.019999999999999574,4.721
4.913984060287476,5.98,15.0,9.02,8.68
4.94560980796814,6.81,15.0,8.190000000000001,8.71
5.0811989307403564,10.53,15.0,4.470000000000001,8.28
5.134538650512695,12.43,15.0,2.5700000000000003,7.39
5.187618255615234,14.36,15.0,0.6400000000000006,6.051
5.41767430305481,15.39,15.0,-0.39000000000000057,4.164
5.4703803062438965,14.66,15.0,0.33999999999999986,4.702
5.524040222167969,14.49,15.0,0.5099999999999998,5.024
5.576248407363892,14.46,15.0,0.5399999999999991,5.122
5.753416538238525,14.49,15.0,0.5099999999999998,5.122
5.859217166900635,14.44,15.0,0.5600000000000005,5.122
5.912835121154785,14.44,15.0,0.5600000000000005,5.132
5.9660727977752686,14.46,15.0,0.5399999999999991,5.132
6.14251184463501,14.36,15.0,0.6400000000000006,5.142
6.249115467071533,14.49,15.0,0.5099999999999998,5.142
6.301661014556885,14.54,15.0,0.46000000000000085,5.132
6.355170726776123,14.46,15.0,0.5399999999999991,5.112
6.4797327518463135,14.46,15.0,0.5399999999999991,5.152
6.531331777572632,14.51,15.0,0.4900000000000002,5.122
6.638005256652832,14.49,15.0,0.5099999999999998,5.122
6.691272497177124,14.46,15.0,0.5399999999999991,5.122
6.867193937301636,14.46,15.0,0.5399999999999991,5.103
6.91995096206665,14.49,15.0,0.5099999999999998,5.122
7.027679920196533,14.46,15.0,0.5399999999999991,5.152
7.080171346664429,14.41,15.0,0.5899999999999999,5.132
7.203054666519165,14.51,15.0,0.4900000000000002,5.132
7.2563745975494385,14.46,15.0,0.5399999999999991,5.112
7.309240341186523,14.46,15.0,0.5399999999999991,5.152
7.362236261367798,14.41,15.0,0.5899999999999999,5.142
7.5922887325286865,14.44,15.0,0.5600000000000005,5.161
7.645538568496704,14.41,15.0,0.5899999999999999,5.152
7.698784112930298,14.51,15.0,0.4900000000000002,5.132
7.7519824504852295,14.44,15.0,0.5600000000000005,5.083
7.9281837940216064,14.46,15.0,0.5399999999999991,5.132
8.034860134124756,14.46,15.0,0.5399999999999991,5.122
8.087897539138794,14.44,15.0,0.5600000000000005,5.103
8.141389608383179,14.39,15.0,0.6099999999999994,5.122
8.318367004394531,14.49,15.0,0.5099999999999998,5.122
8.423105955123901,14.46,15.0,0.5399999999999991,5.142
8.476733207702637,14.41,15.0,0.5899999999999999,5.122
8.530281066894531,14.41,15.0,0.5899999999999999,5.142
8.653675317764282,14.41,15.0,0.5899999999999999,5.112
8.705769777297974,14.56,15.0,0.4399999999999995,5.132
8.8139808177948,14.41,15.0,0.5899999999999999,5.142
8.865912437438965,14.46,15.0,0.5399999999999991,5.142
8.990728616714478,14.73,15.0,0.2699999999999996,4.995
9.04197096824646,14.83,15.0,0.16999999999999993,4.888
9.095344066619873,14.8,15.0,0.1999999999999993,4.868
9.148823261260986,14.83,15.0,0.16999999999999993,4.858
9.202072620391846,14.9,15.0,0.09999999999999964,4.848
9.37813425064087,14.85,15.0,0.15000000000000036,4.868
9.431399583816528,14.85,15.0,0.15000000000000036,4.858
9.484548807144165,14.83,15.0,0.16999999999999993,4.858
9.537660360336304,14.8,15.0,0.1999999999999993,4.848
9.591176509857178,14.83,15.0,0.16999999999999993,4.858
9.767319917678833,14.93,15.0,0.07000000000000028,4.868
9.875734329223633,14.83,15.0,0.16999999999999993,4.888
9.926504611968994,14.88,15.0,0.11999999999999922,4.858
9.980332612991333,14.88,15.0,0.11999999999999922,4.878
10.103022336959839,14.83,15.0,0.16999999999999993,4.868
10.156533479690552,14.85,15.0,0.15000000000000036,4.848
